x,Close
1,34.880001
2,34.439999
3,34.68
4,34.5
5,35.029999
6,35.360001
7,35.68
8,35.189999
9,35.400002
10,35.299999
11,35.5
12,35.900002
13,35.720001
14,35.580002
15,35.419998
16,35.59
17,35.650002
18,36
19,36.950001
20,38.119999
21,38.040001
22,39.509998
23,39.52
24,40.060001
25,40.060001
26,39.639999
27,40.189999
28,40.98
29,40.73
30,39.91
31,40.57
32,39.73
33,34.02
34,31.559999
35,32.299999
36,32.93
37,32.849998
38,32.41
39,31.690001
40,32.290001
41,32.169998
42,31.629999
43,31.870001
44,31.459999
45,30.9
46,31.23
47,30.73
48,30.360001
49,31.790001
50,31.690001
51,31.57
52,31.48
53,31.950001
54,32.060001
55,31.98
56,32.34
57,31.719999
58,32.09
59,32.91
60,32.82
61,33.139999
62,32.82
63,33.18
64,32.709999
65,33.040001
66,33.950001
67,34.18
68,34.330002
69,34.349998
70,34.73
71,34.919998
72,34.990002
73,35.330002
74,35.459999
75,35.75
76,36.040001
77,35.59
78,35.619999
79,34.900002
80,34.459999
81,34.080002
82,33.869999
83,34.48
84,35.439999
85,34.889999
86,35.419998
87,35.43
88,35.549999
89,35.049999
90,34.93
91,35.34
92,33.529999
93,34.27
94,34.360001
95,34.950001
96,36.77
97,34.950001
98,34.619999
99,32.700001
100,32.970001
101,33.169998
102,32.919998
103,32.669998
104,33.23
105,32.889999
106,31.77
107,32.029999
108,33.310001
109,33.369999
110,33.549999
111,33.509998
112,33.209999
113,32.84
114,33.240002
115,32.700001
116,33.23
117,33.959999
118,34.599998
119,36.52
120,37.439999
121,38.209999
122,36.98
123,36.93
124,36.299999
125,35.470001
126,34.84
127,34.400002
128,34.959999
129,35.080002
130,34.419998
131,34.75
132,34.860001
133,33.330002
134,33.110001
135,33.400002
136,33.279999
137,32.75
138,32.639999
139,32.220001
140,32.720001
141,32.810001
142,33.09
143,33.610001
144,33.16
145,32.93
146,33.450001
147,33.84
148,33.529999
149,33.509998
150,34.689999
151,34.91
152,34.32
153,34.849998
154,34.509998
155,35.060001
156,34.240002
157,33.16
158,32.709999
159,30.120001
160,34.77
161,36.060001
162,35.77
163,35.560001
164,34.27
165,34.610001
166,34.779999
167,34.349998
168,34.23
169,34.139999
170,35.259998
171,35.009998
172,35.130001
173,35.209999
174,34.68
175,33.470001
176,33.66
177,34.18
178,33.419998
179,33.380001
180,33.080002
181,33.029999
182,32.709999
183,33.389999
184,33.549999
185,33.779999
186,34
187,34.139999
188,34.110001
189,34.029999
190,34.209999
191,34.060001
192,34.66
193,34.849998
194,34.580002
195,34.830002
196,34.77
197,34.720001
198,34.439999
199,34.57
200,35.540001
201,35.16
202,35.279999
203,36.23
204,36.59
205,36.950001
206,37.240002
207,36.509998
208,35.330002
209,35.810001
210,35.93
211,36.119999
212,35.349998
213,35.41
214,35.389999
215,34.77
216,32.599998
217,32.939999
218,34.02
219,34.66
220,34.119999
221,34.060001
222,34.200001
223,34.759998
224,35.360001
225,36.5
226,35.23
227,34.57
228,34.040001
229,34.639999
230,34
231,32.419998
232,33.509998
233,32.939999
234,31.4
235,31.27
236,31.65
237,30.59
238,31.389999
239,29.139999
240,28.940001
241,26.4
242,27.809999
243,24
244,21.459999
245,23.540001
246,17.68
247,17.530001
248,14.46
249,16.709999
250,17.799999
251,18.51
